title,synopsis,genres
Fairy Tail,"['mystical', 'exists', 'essential', 'everyday', 'countless', 'guilds', 'magical', 'activity', 'venues', 'minded', 'together', 'requests', 'stands', 'strength', 'spirit', 'family', 'heartfilia', 'searching', 'celestial', 'become', 'fledged', 'wizard', 'joining', 'famous', 'search', 'dragneel', 'partner', 'foster', 'father', 'dragon', 'igneel', 'tricked', 'abduction', 'attempt', 'reveals', 'member', 'invites', 'strange', 'members', 'wizard', 'fullbuster', 'swordswoman', 'scarlet', 'together', 'family', 'battle', 'forces', 'friends', 'enjoying', 'ending', 'written', 'rewrite']","['Action', 'Adventure', 'Comedy', 'Magic', 'Fantasy', 'Shounen']"
Bleach,"['ichigo', 'kurosaki', 'ordinary', 'schooler', 'family', 'attacked', 'hollow', 'corrupt', 'spirit', 'devour', 'reaper', 'kuchiki', 'injured', 'protecting', 'ichigo', 'family', 'assailant', 'family', 'ichigo', 'accepts', 'taking', 'powers', 'becomes', 'reaper', 'result', 'however', 'unable', 'regain', 'powers', 'ichigo', 'daunting', 'hunting', 'hollows', 'plague', 'however', 'joined', 'friends', 'classmates', 'orihime', 'yasutora', 'ishida', 'unique', 'abilities', 'ichigo', 'comrades', 'duties', 'support', 'battlefield', 'reaper', 'learns', 'hollows', 'threat', 'written', 'rewrite']","['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']"
Kill la Kill,"['murder', 'father', 'ryuuko', 'wandering', 'search', 'killer', 'following', 'missing', 'invention', 'scissor', 'arrives', 'prestigious', 'honnouji', 'academy', 'unlike', 'academy', 'imposing', 'hearted', 'student', 'council', 'president', 'satsuki', 'kiryuuin', 'alongside', 'powerful', 'underlings', 'brutally', 'competitive', 'hierarchy', 'satsuki', 'bestows', 'special', 'clothes', 'called', 'uniforms', 'wearer', 'unique', 'superhuman', 'abilities', 'thoroughly', 'beaten', 'against', 'students', 'uniform', 'ryuuko', 'retreats', 'stumbles', 'across', 'senketsu', 'sentient', 'clothes', 'coming', 'contact', 'ryuuko', 'senketsu', 'awakens', 'latching', 'providing', 'immense', 'senketsu', 'scissor', 'ryuuko', 'against', 'hoping', 'satsuki', 'uncover', 'culprit', 'behind', 'father', 'murder', 'written', 'rewrite']","['Action', 'Comedy', 'Super Power', 'Ecchi', 'School']"
Tengen Toppa Gurren Lagann,"['kamina', 'raised', 'underground', 'village', 'hidden', 'fabled', 'surface', 'kamina', 'spirited', 'cannon', 'making', 'himself', 'aspirations', 'excavating', 'stumbles', 'mysterious', 'object', 'ignition', 'ancient', 'artifact', 'lagann', 'weapon', 'kamina', 'surprise', 'attack', 'surface', 'littner', 'blooded', 'redhead', 'wielding', 'massive', 'wanders', 'aftermath', 'battle', 'prompting', 'kamina', 'journey', 'alongside', 'explore', 'wastelands', 'surface', 'against', 'beastmen', 'humanoid', 'creatures', 'terrorize', 'remnants', 'humanity', 'powerful', 'robots', 'called', 'gunmen', 'although', 'challenges', 'setbacks', 'bravely', 'fights', 'enemies', 'alongside', 'survivors', 'reclaim', 'surface', 'slowly', 'unraveling', 'galaxy', 'written', 'rewrite']","['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi']"
Soul Eater,"['famous', 'weapon', 'meister', 'academy', 'technical', 'academy', 'headed', 'shinigami', 'himself', 'mission', 'scythes', 'shinigami', 'against', 'fantastical', 'scythes', 'however', 'physical', 'weapons', 'rather', 'hybrids', 'ability', 'transform', 'bodies', 'weapons', 'consumed', 'beings', 'scythe', 'become', 'scythe', 'straight', 'wielder', 'meister', 'albarn', 'contrasting', 'alongside', 'headed', 'caring', 'weapon', 'tsubaki', 'shinigami', 'obsessive', 'compulsive', 'wielder', 'pistols', 'follows', 'students', 'shibusen', 'missions', 'collect', 'protect', 'threats', 'working', 'together', 'snickering', 'become', 'sounder', 'written', 'rewrite']","['Action', 'Fantasy', 'Comedy', 'Supernatural', 'Shounen']"
One Piece,"['pirate', 'strongest', 'infamous', 'sailed', 'capture', 'execution', 'government', 'brought', 'change', 'throughout', 'before', 'revealed', 'existence', 'greatest', 'treasure', 'revelation', 'brought', 'pirates', 'dreamed', 'finding', 'promises', 'unlimited', 'amount', 'riches', 'possibly', 'pinnacle', 'pirate', 'monkey', 'defies', 'standard', 'definition', 'pirate', 'rather', 'popular', 'persona', 'wicked', 'hardened', 'toothless', 'pirate', 'ransacking', 'villages', 'reason', 'pirate', 'wonder', 'thought', 'exciting', 'intriguing', 'people', 'ultimately', 'promised', 'treasure', 'following', 'footsteps', 'childhood', 'travel', 'across', 'experiencing', 'adventures', 'unveiling', 'mysteries', 'battling', 'strong', 'enemies', 'coveted', 'fortunes', 'written', 'rewrite']","['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']"
Fullmetal Alchemist,"['edward', 'brilliant', 'alchemist', 'twelve', 'brother', 'alphonse', 'resurrect', 'mother', 'through', 'forbidden', 'transmutation', 'edward', 'brother', 'supreme', 'alchemy', 'skills', 'edward', 'alphonse', 'edward', 'promoted', 'fullmetal', 'alchemist', 'embarks', 'journey', 'younger', 'brother', 'obtain', 'philosopher', 'fabled', 'mythical', 'object', 'rumored', 'capable', 'amplifying', 'alchemist', 'abilities', 'bounds', 'allowing', 'override', 'fundamental', 'alchemy', 'something', 'alchemist', 'sacrifice', 'something', 'edward', 'resources', 'fabled', 'restore', 'alphonse', 'bodies', 'normal', 'however', 'brothers', 'discover', 'legendary', 'epicenter', 'darker', 'battle', 'imagined', 'written', 'rewrite']","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']"
Cowboy Bebop,"['humanity', 'colonized', 'several', 'planets', 'system', 'leaving', 'uninhabitable', 'surface', 'planet', 'behind', 'system', 'attempts', 'galaxy', 'outlaw', 'bounty', 'hunters', 'referred', 'cowboys', 'ragtag', 'aboard', 'spaceship', 'individuals', 'mellow', 'carefree', 'spiegel', 'balanced', 'boisterous', 'pragmatic', 'partner', 'living', 'chasing', 'bounties', 'collecting', 'rewards', 'thrown', 'course', 'addition', 'members', 'travels', 'genetically', 'engineered', 'highly', 'intelligent', 'fatale', 'valentine', 'enigmatic', 'trickster', 'memory', 'strange', 'computer', 'edward', 'embarks', 'thrilling', 'adventures', 'unravel', 'member', 'mysterious', 'little', 'little', 'balanced', 'density', 'hearted', 'cowboy', 'western', 'classic', 'homage', 'smooth', 'improvised', 'written', 'rewrite']","['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']"
Clannad,"['tomoya', 'okazaki', 'delinquent', 'believes', 'amount', 'anything', 'friend', 'youhei', 'sunohara', 'walking', 'tomoya', 'passes', 'muttering', 'quietly', 'herself', 'without', 'warning', 'exclaims', 'popular', 'japanese', 'catches', 'tomoya', 'attention', 'discovers', 'nagisa', 'furukawa', 'exclaims', 'things', 'motivate', 'herself', 'nagisa', 'claims', 'friends', 'tomoya', 'passing', 'encounter', 'nothing', 'however', 'tomoya', 'noticing', 'nagisa', 'around', 'eventually', 'concedes', 'befriends', 'tomoya', 'learns', 'nagisa', 'severe', 'illness', 'revive', 'claiming', 'nothing', 'better', 'decides', 'achieve', 'tomoya', 'spends', 'learns', 'problems', 'attempts', 'overcome', 'respective', 'obstacle', 'begins', 'realize', 'thought', 'written', 'rewrite']","['Comedy', 'Drama', 'Romance', 'School', 'Slice of Life', 'Supernatural']"
Kono Subarashii Sekai ni Shukufuku wo!,"['laughable', 'pathetic', 'buying', 'student', 'recluse', 'kazuma', 'himself', 'sitting', 'before', 'beautiful', 'obnoxious', 'goddess', 'provides', 'options', 'continue', 'heaven', 'reincarnate', 'choosing', 'kazuma', 'quickly', 'tasked', 'defeating', 'terrorizing', 'villages', 'before', 'choose', 'future', 'selects', 'kazuma', 'mistake', 'completely', 'useless', 'unfortunately', 'troubles', 'living', 'different', 'instead', 'thrilling', 'living', 'expenses', 'indeed', 'misfortunes', 'written', 'rewrite']","['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Parody', 'Supernatural']"
