title,synopsis,genres
Noragami,"['strange', 'telephone', 'number', 'scrawled', 'number', 'introduce', 'himself', 'proclaimed', 'delivery', 'dreams', 'having', 'millions', 'worshippers', 'without', 'single', 'shrine', 'dedicated', 'however', 'realized', 'spends', 'apiece', 'weapon', 'partner', 'becomes', 'useless', 'master', 'deserts', 'things', 'looking', 'fortune', 'changes', 'middle', 'hiyori', 'supposedly', 'accident', 'taking', 'remarkably', 'survives', 'caused', 'become', 'hiyori', 'demands', 'return', 'normal', 'learning', 'partner', 'reluctantly', 'agrees', 'hiyori', 'finally', 'turning', 'around', 'written', 'rewrite']","['Action', 'Adventure', 'Comedy', 'Supernatural', 'Shounen']"
Ao no Exorcist,"['humans', 'assiah', 'gehenna', 'respective', 'worlds', 'travel', 'between', 'realms', 'possession', 'stories', 'however', 'gehenna', 'cannot', 'suitable', 'possess', 'therefore', 'remains', 'imprisoned', 'desperate', 'attempt', 'conquer', 'assiah', 'instead', 'intending', 'eventually', 'vessel', 'capable', 'possession', 'exorcist', 'follows', 'okumura', 'appears', 'ordinary', 'somewhat', 'troublesome', 'teenager', 'ambushed', 'upside', 'discovers', 'father', 'wishes', 'return', 'conquer', 'assiah', 'together', 'wanting', 'gehenna', 'decides', 'training', 'become', 'exorcist', 'defend', 'assiah', 'alongside', 'brother', 'written', 'rewrite']","['Action', 'Demons', 'Fantasy', 'Shounen', 'Supernatural']"
Sword Art Online II,"['escaping', 'online', 'kazuto', 'kirigaya', 'settling', 'however', 'incident', 'occurs', 'called', 'online', 'player', 'appears', 'killing', 'people', 'shooting', 'approached', 'officials', 'assist', 'investigating', 'murders', 'kazuto', 'assumes', 'persona', 'kirito', 'online', 'intent', 'stopping', 'killer', 'inside', 'kirito', 'highly', 'skilled', 'sniper', 'afflicted', 'traumatic', 'dragged', 'together', 'bullet', 'bullets', 'tournament', 'target', 'appear', 'uncertain', 'powers', 'kirito', 'before', 'chance', 'another', 'everything', 'smoothly', 'however', 'impede', 'progress', 'stakes', 'victim', 'easily', 'kirito', 'virtual', 'written', 'rewrite']","['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']"
Hunter x Hunter (2011),"['hunter', 'hunter', 'hunters', 'perform', 'manner', 'dangerous', 'capturing', 'criminals', 'bravely', 'searching', 'treasures', 'uncharted', 'territories', 'twelve', 'freecss', 'determined', 'become', 'hunter', 'possible', 'finding', 'father', 'hunter', 'himself', 'abandoned', 'however', 'realizes', 'achieving', 'challenging', 'imagined', 'becoming', 'official', 'hunter', 'befriends', 'lively', 'doctor', 'training', 'leorio', 'vengeful', 'kurapika', 'rebellious', 'assassin', 'killua', 'attain', 'desires', 'together', 'hunter', 'notorious', 'success', 'probability', 'throughout', 'journey', 'friends', 'embark', 'through', 'hardships', 'struggles', 'plethora', 'monsters', 'creatures', 'characters', 'learning', 'hunter', 'written', 'rewrite']","['Action', 'Adventure', 'Fantasy', 'Shounen', 'Super Power']"
Naruto: Shippuuden,"['naruto', 'uzumaki', 'konohagakure', 'hidden', 'village', 'intense', 'training', 'following', 'events', 'fueled', 'desire', 'stronger', 'akatsuki', 'mysterious', 'organization', 'closing', 'threaten', 'safety', 'entire', 'shinobi', 'although', 'naruto', 'sinister', 'events', 'horizon', 'changed', 'little', 'personality', 'rambunctious', 'childish', 'though', 'confident', 'possesses', 'greater', 'determination', 'protect', 'friends', 'whatever', 'naruto', 'important', 'expense', 'continuation', 'wishes', 'become', 'hokage', 'written', 'rewrite']","['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']"
Boku no Hero Academia 2nd Season,"['academy', 'violent', 'attack', 'disrupt', 'prestigious', 'festival', 'renowned', 'across', 'festival', 'opportunity', 'aspiring', 'heroes', 'showcase', 'abilities', 'public', 'potential', 'recruiters', 'however', 'especially', 'midoriya', 'possesses', 'cripplingly', 'inefficient', 'pitted', 'against', 'talented', 'classmates', 'wielding', 'shouto', 'todoroki', 'utilize', 'master', 'surroundings', 'achieve', 'victory', 'written', 'rewrite']","['Action', 'Comedy', 'Super Power', 'School', 'Shounen']"
Fairy Tail,"['mystical', 'exists', 'essential', 'everyday', 'countless', 'guilds', 'magical', 'activity', 'venues', 'minded', 'together', 'requests', 'stands', 'strength', 'spirit', 'family', 'heartfilia', 'searching', 'celestial', 'become', 'fledged', 'wizard', 'joining', 'famous', 'search', 'dragneel', 'partner', 'foster', 'father', 'dragon', 'igneel', 'tricked', 'abduction', 'attempt', 'reveals', 'member', 'invites', 'strange', 'members', 'wizard', 'fullbuster', 'swordswoman', 'scarlet', 'together', 'family', 'battle', 'forces', 'friends', 'enjoying', 'ending', 'written', 'rewrite']","['Action', 'Adventure', 'Comedy', 'Magic', 'Fantasy', 'Shounen']"
Akame ga Kill!,"['covert', 'assassination', 'branch', 'revolutionary', 'uprising', 'assembled', 'overthrow', 'minister', 'honest', 'avarice', 'advantage', 'emperor', 'inexperience', 'without', 'strong', 'benevolent', 'leader', 'nation', 'poverty', 'strife', 'though', 'members', 'experienced', 'killers', 'understand', 'taking', 'commendable', 'likely', 'retribution', 'mercilessly', 'eliminate', 'anyone', 'stands', 'revolution', 'assassins', 'newest', 'member', 'tatsumi', 'remote', 'village', 'embarked', 'journey', 'impoverished', 'hometown', 'ideals', 'resolve', 'follows', 'tatsumi', 'fights', 'empire', 'powerful', 'weapons', 'assassins', 'challenges', 'morals', 'values', 'ultimately', 'assassin', 'written', 'rewrite']","['Action', 'Adventure', 'Drama', 'Fantasy', 'Shounen']"
Bleach,"['ichigo', 'kurosaki', 'ordinary', 'schooler', 'family', 'attacked', 'hollow', 'corrupt', 'spirit', 'devour', 'reaper', 'kuchiki', 'injured', 'protecting', 'ichigo', 'family', 'assailant', 'family', 'ichigo', 'accepts', 'taking', 'powers', 'becomes', 'reaper', 'result', 'however', 'unable', 'regain', 'powers', 'ichigo', 'daunting', 'hunting', 'hollows', 'plague', 'however', 'joined', 'friends', 'classmates', 'orihime', 'yasutora', 'ishida', 'unique', 'abilities', 'ichigo', 'comrades', 'duties', 'support', 'battlefield', 'reaper', 'learns', 'hollows', 'threat', 'written', 'rewrite']","['Action', 'Adventure', 'Comedy', 'Super Power', 'Supernatural', 'Shounen']"
Shingeki no Kyojin Season 2,"['centuries', 'humanity', 'hunted', 'mysterious', 'predators', 'titans', 'mighty', 'sheena', 'provided', 'protection', 'humanity', 'hundred', 'however', 'shattered', 'colossus', 'armored', 'appeared', 'destroyed', 'outermost', 'forced', 'retreat', 'behind', 'humanity', 'waited', 'breath', 'titans', 'reappear', 'destroy', 'shingeki', 'kyojin', 'season', 'yeager', 'others', 'training', 'become', 'members', 'survey', 'themselves', 'titans', 'preparations', 'interrupted', 'invasion', 'mysteries', 'unraveled', 'survey', 'uncover', 'invading', 'titans', 'secrets', 'members', 'written', 'rewrite']","['Action', 'Drama', 'Fantasy', 'Military', 'Mystery', 'Shounen', 'Super Power']"
